Source,Target
Brendan Fraser,The Mummy: Tomb of the Dragon Emperor
Adrian Pasdar,Near Dark
Jim Caviezel,The Thin Red Line
Jim Caviezel,Frequency
Rosie O'Donnell,Now and Then
Rosie O'Donnell,The Flintstones
Rosamund Pike,Fracture
Rosamund Pike,Jack Reacher
Rosamund Pike,I Care a Lot
Jake Gyllenhaal,Nightcrawler
Jake Gyllenhaal,Life
Jake Gyllenhaal,The Day After Tomorrow
Closer,Natalie Portman
Closer,Jude Law
Closer,Clive Owen
Closer,Julia Roberts
The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck
The Assassination of Jesse James by the Coward Robert Ford,Sam Shepard
The Assassination of Jesse James by the Coward Robert Ford,Mary-Louise Parker
Scott Glenn,The Hunt for Red October
Scott Glenn,Vertical Limit
Taps,George C. Scott
Taps,Timothy Hutton
Taps,Ronny Cox
Taps,Sean Penn
The Firm,Tom Cruise
The Firm,Jeanne Tripplehorn
The Firm,Gene Hackman
The Firm,Hal Holbrook
Kierston Wareing,Fish Tank
Ocean's Twelve,George Clooney
Ocean's Twelve,Julia Roberts
Sea of Love,Michael Rooker
Ilan Mitchell-Smith,Weird Science
Captain Haggerty,Married to the Mob
Fred Ward,The Player
Fred Ward,Tremors
Fred Ward,Dangerous Beauty
Fred Ward,Southern Comfort
Fred Ward,Thunderheart
Fred Ward,Remo Williams: The Adventure Begins
Fred Ward,Big Business
Fred Ward,Uncommon Valor
Fred Ward,Chain Reaction
Fred Ward,Summer Catch
Seth Green,Old Dogs
Zach Braff,The Comeback Trail
Sigourney Weaver,Dave
Sigourney Weaver,Working Girl
Sigourney Weaver,Red Lights
Harvey Keitel,Cop Land
Glass,James McAvoy
Glass,Bruce Willis
Glass,Samuel L. Jackson
Glass,Anya Taylor-Joy
Jude Law,A Series of Unfortunate Events
Jude Law,King Arthur: Legend of the Sword
Jude Law,All the King's Men
Viggo Mortensen,The Road
Viggo Mortensen,G.I. Jane
John Ashton,Midnight Run
What to Expect When You're Expecting,Cameron Diaz
What to Expect When You're Expecting,J. Todd Smith
Delroy Lindo,Heist
Delroy Lindo,Broken Arrow
Linda Cardellini,Hunter Killer
Linda Cardellini,Scooby-Doo
Linda Cardellini,Scooby-Doo 2: Monsters Unleashed
Newton,Pankaj Tripathi
Newton,Anjali Patil
Newton,Raghubir Yadav
Embeth Davidtz,Murder in the First
Embeth Davidtz,Matilda
Embeth Davidtz,Fallen
Embeth Davidtz,Bicentennial Man
Embeth Davidtz,The Emperor's Club
Embeth Davidtz,Europa Report
Embeth Davidtz,The Gingerbread Man
Vanessa Williams,Hoodlum
Home Alone 2: Lost in New York,Macaulay Culkin
Home Alone 2: Lost in New York,Joe Pesci
Home Alone 2: Lost in New York,Daniel Stern
Hoffa,Jack Nicholson
Hoffa,Danny DeVito
Hoffa,Armand Assante
Hoffa,J.T. Walsh
Lea Thompson,All the Right Moves
Lea Thompson,SpaceCamp
Joseph Ruskin,Smokin' Aces
Rabbit Hole,Nicole Kidman
Rabbit Hole,Aaron Eckhart
Rabbit Hole,Dianne Wiest
Rabbit Hole,Miles Teller
John Higgins,A Man Called Otto
Andie MacDowell,Groundhog Day
Andie MacDowell,Short Cuts
Andie MacDowell,"Sex, Lies, and Videotape"
Andie MacDowell,Four Weddings and a Funeral
Andie MacDowell,Green Card
Andie MacDowell,Daydream Nation
Andie MacDowell,Multiplicity
Andie MacDowell,Footloose
Andie MacDowell,Hudson Hawk
Andie MacDowell,Michael
Andie MacDowell,Christmas Inheritance
Andie MacDowell,The Muse
Andie MacDowell,Bad Girls
Bingbing Li,The Meg
C.H.U.D.,Daniel Stern
C.H.U.D.,Christopher Curry
C.H.U.D.,Kim Greist
The Ninth Gate,Johnny Depp
The Ninth Gate,Frank Langella
Killing Season,Robert De Niro
Killing Season,John Travolta
Killing Season,Milo Ventimiglia
Killing Season,Liz Olin
Courteney Cox,Scream 2
Courteney Cox,3000 Miles to Graceland
Diego Boneta,Rock of Ages
Elsa Zylberstein,Modigliani
Kennedi Clements,Poltergeist
Dave,Kevin Kline
Dave,Frank Langella
Dave,Kevin Dunn
Kate Nelligan,Dracula
Kate Nelligan,Wolf
John Candy,Splash
John Candy,Nothing But Trouble
Amy Adams,Doubt
Amy Adams,American Hustle
Amy Adams,Vice
Amy Adams,Man of Steel
Amy Adams,Charlie Wilson's War
Amy Adams,Julie & Julia
Amy Adams,Trouble with the Curve
Amy Adams,On the Road
Amy Adams,The Woman in the Window
Jack Warner,A Christmas Carol
Richard Dreyfuss,Mr. Holland's Opus
Richard Dreyfuss,Always
Richard Dreyfuss,Poseidon
Rene Russo,Nightcrawler
Rene Russo,The Intern
Rene Russo,Ransom
Rene Russo,"Yours, Mine & Ours"
Linda Warren,One Crazy Summer
Sope Dirisu,The Colony
Odeya Rush,Dumplin'
Catherine Keener,The Croods: A New Age
Catherine Keener,Hamlet 2
Catherine Keener,Friends with Money
The Shawshank Redemption,Tim Robbins
The Shawshank Redemption,Morgan Freeman
The Shawshank Redemption,Bob Gunton
Mamma Mia!,Meryl Streep
Mamma Mia!,Pierce Brosnan
Mamma Mia!,Amanda Seyfried
Nights of Cabiria,Dorian Gray
The Hunger Games,Jennifer Lawrence
The Hunger Games,Stanley Tucci
Idiocracy,Luke Wilson
Idiocracy,Maya Rudolph
Idiocracy,Terry Crews
Murder at 1600,Wesley Snipes
Murder at 1600,Diane Lane
Murder at 1600,Dennis Miller
American Hustle,Christian Bale
American Hustle,Bradley Cooper
American Hustle,Jennifer Lawrence
Lori Singer,Footloose
Lori Singer,Warlock
Let Him Go,Diane Lane
Let Him Go,Kevin Costner
Let Him Go,Ryan Bruce
John Fiedler,The Tigger Movie
Enemy Mine,Louis Gossett Jr.
Joe Versus the Volcano,Tom Hanks
Joe Versus the Volcano,Robert Stack
Human Nature,Tim Robbins
Human Nature,Patricia Arquette
Human Nature,Rhys Ifans
Human Nature,Ken Magee
Anders Holm,The Intern
Mr. Jones,James Norton
Mr. Jones,Vanessa Kirby
Mr. Jones,Peter Sarsgaard
Mr. Jones,Joseph Mawle
Gail O'Grady,Celtic Pride
Collateral,Tom Cruise
Collateral,Jamie Foxx
Collateral,Mark Ruffalo
Larry B. Scott,SpaceCamp
Patrick Bergin,Sleeping with the Enemy
Arielle Carver-O'Neill,Ticket to Paradise
Far from Heaven,Dennis Haysbert
Far from Heaven,Patricia Clarkson
Powers Boothe,Frailty
Powers Boothe,Southern Comfort
Bachelor Party,Tom Hanks
Lisanne Falk,Heathers
Ray Liotta,Goodfellas
Ray Liotta,Narc
Ray Liotta,Cop Land
Ray Liotta,Hannibal
Ray Liotta,Smokin' Aces
Ray Liotta,Killing Them Softly
Asa Butterfield,Then Came You
Asa Butterfield,The Space Between Us
Little Fockers,Ben Stiller
Little Fockers,Robert De Niro
Little Fockers,Owen Wilson
Douglas M. Griffin,10 Cloverfield Lane
Blue Thunder,Warren Oates
Blue Thunder,Candy Clark
Blue Thunder,Daniel Stern
Elijah Wood,Cooties
On the Road,Sam Riley
On the Road,Garrett Hedlund
On the Road,Kristen Stewart
Ghost,Patrick Swayze
Ghost,Demi Moore
Ghost,Whoopi Goldberg
Ghost,Tony Goldwyn
Land,Robin Wright
Land,Sarah Dawn Pledge
Land,Kim Dickens
Mary Elizabeth Winstead,10 Cloverfield Lane
Warlock,Julian Sands
Warlock,Mary Woronov
O'Shea Jackson Jr.,Long Shot
David Cross,Small Soldiers
Shelley Winters,Lolita
Music of the Heart,Meryl Streep
Music of the Heart,Cloris Leachman
Music of the Heart,Michael Angarano
Waiting...,Ryan Reynolds
Waiting...,Anna Faris
Waiting...,John Francis Daley
Danny Aiello,Jacob's Ladder
Danny Aiello,Moonstruck
Danny Aiello,2 Days in the Valley
Danny Aiello,City Hall
Danny Aiello,Hudson Hawk
Alfre Woodard,K-PAX
Alfre Woodard,Heart and Souls
Chris Farley,Airheads
Claudia Stedelin,Switchback
Patrick Wilson,The Phantom of the Opera
Patrick Wilson,Hard Candy
Patrick Wilson,The Switch
Patrick Wilson,Passengers
X-Men Origins: Wolverine,Hugh Jackman
X-Men Origins: Wolverine,Liev Schreiber
X-Men Origins: Wolverine,Ryan Reynolds
X-Men Origins: Wolverine,Danny Huston
Mars Attacks!,Jack Nicholson
Mars Attacks!,Pierce Brosnan
Mars Attacks!,Sarah Jessica Parker
Mars Attacks!,Annette Bening
Shannen Doherty,Heathers
Kevin Hart,About Last Night
Steven Mackintosh,Underworld: Rise of the Lycans
Prabhleen Sandhu,Shahid
Shark Tale,Will Smith
Shark Tale,Robert De Niro
Shark Tale,Renée Zellweger
Shark Tale,Angelina Jolie
The King's Speech,Colin Firth
The King's Speech,Geoffrey Rush
The King's Speech,Helena Bonham Carter
The King's Speech,Derek Jacobi
James Badge Dale,Shame
James Badge Dale,World War Z
Katherine Helmond,Brazil
National Lampoon's Van Wilder,Ryan Reynolds
National Lampoon's Van Wilder,Tara Reid
National Lampoon's Van Wilder,Tim Matheson
National Lampoon's Van Wilder,Kal Penn
Reece Thompson,Daydream Nation
Forsaken,Esther Purves-Smith
Forsaken,Kiefer Sutherland
Forsaken,Donald Sutherland
Forsaken,Lex Cassar
Paul Perri,Freeway
Things Heard & Seen,Amanda Seyfried
Things Heard & Seen,James Norton
Things Heard & Seen,Alex Neustaedter
Jeff Daniels,"Good Night, and Good Luck."
Jeff Daniels,Steve Jobs
Jeff Daniels,Arachnophobia
Jeff Daniels,2 Days in the Valley
Jeff Daniels,Paper Man
Jeff Daniels,Heartburn
Miko Hughes,Mercury Rising
Dave Bautista,Heist
Corey Burton,The Hunchback of Notre Dame
Radha Mitchell,Phone Booth
Radha Mitchell,Henry Poole Is Here
Matthew Douglas,Rogue Agent
Anthony Hopkins,Legends of the Fall
Anthony Hopkins,Bram Stoker's Dracula
Anthony Hopkins,Amistad
Anthony Hopkins,Meet Joe Black
Anthony Hopkins,Fracture
Anthony Hopkins,Bobby
Anthony Hopkins,The Edge
Anthony Hopkins,Hannibal
Anthony Hopkins,You Will Meet a Tall Dark Stranger
Anthony Hopkins,The Human Stain
Anthony Hopkins,All the King's Men
Carnal Knowledge,Jack Nicholson
Carnal Knowledge,Candice Bergen
Carnal Knowledge,Art Garfunkel
Carnal Knowledge,Ann-Margret
True Romance,Patricia Arquette
True Romance,Dennis Hopper
True Romance,Val Kilmer
Pyotr Mamonov,The Island
Michael McGlone,She's the One
Deborah Kara Unger,The Game
Hugh Bonneville,Downton Abbey: A New Era
Tammy Blanchard,Tallulah
James Ransone,Mr. Right
The Hunchback of Notre Dame,Demi Moore
The Hunchback of Notre Dame,Jason Alexander
Obsession,Geneviève Bujold
Obsession,John Lithgow
Snow White and the Huntsman,Kristen Stewart
Snow White and the Huntsman,Chris Hemsworth
Snow White and the Huntsman,Sam Claflin
Ken Jeong,Then Came You
The Huntsman: Winter's War,Chris Hemsworth
The Huntsman: Winter's War,Jessica Chastain
Fever Pitch,Colin Firth
Fever Pitch,Ruth Gemmell
Fever Pitch,Luke Aikman
Fever Pitch,Bea Guard
Fever Pitch,Jimmy Fallon
Fever Pitch,Jason Spevack
Fever Pitch,Jack Kehler
Anne Hathaway,The Dark Knight Rises
Anne Hathaway,Dark Waters
Anne Hathaway,Les Misérables
Anne Hathaway,The Intern
Anne Hathaway,Becoming Jane
Anne Hathaway,Rio 2
Anne Hathaway,Passengers
Anne Hathaway,Valentine's Day
Anne Hathaway,Serenity
Reese Witherspoon,Cruel Intentions
Reese Witherspoon,Freeway
Reese Witherspoon,The Importance of Being Earnest
Reese Witherspoon,Penelope
Reese Witherspoon,Legally Blonde
Reese Witherspoon,Devil's Knot
Reese Witherspoon,Home Again
Reese Witherspoon,How Do You Know
"Hail, Caesar!",George Clooney
"Hail, Caesar!",Alden Ehrenreich
"Hail, Caesar!",Ralph Fiennes
Ray Walston,Of Mice and Men
Jack Nicholson,One Flew Over the Cuckoo's Nest
Jack Nicholson,The Departed
Jack Nicholson,The Shining
Jack Nicholson,Chinatown
Jack Nicholson,A Few Good Men
Jack Nicholson,Batman
Jack Nicholson,The Passenger
Jack Nicholson,Terms of Endearment
Jack Nicholson,Five Easy Pieces
Jack Nicholson,The Bucket List
Jack Nicholson,Easy Rider
Jack Nicholson,The Pledge
Jack Nicholson,Something's Gotta Give
Jack Nicholson,Prizzi's Honor
Jack Nicholson,The Postman Always Rings Twice
Jack Nicholson,The Witches of Eastwick
Jack Nicholson,Wolf
Jack Nicholson,The Crossing Guard
Jack Nicholson,Anger Management
Jack Nicholson,Heartburn
Jack Nicholson,How Do You Know
Dave Chappelle,Blue Streak
The 'Burbs,Tom Hanks
The 'Burbs,Bruce Dern
The 'Burbs,Carrie Fisher
Margaret Whitton,Little Monsters
Margaret Whitton,9½ Weeks
Gangster Squad,Sean Penn
Gangster Squad,Ryan Gosling
Gangster Squad,Emma Stone
Gangster Squad,Giovanni Ribisi
Snoop Dogg,Racing Stripes
Triple Frontier,Ben Affleck
Triple Frontier,Charlie Hunnam
Triple Frontier,Garrett Hedlund
Diner,Kevin Bacon
Diner,Daniel Stern
Gary Lewis,My Son
Luke Evans,Murder Mystery
The Goonies,Sean Astin
The Goonies,Jeff Cohen
Mission: Impossible - Rogue Nation,Tom Cruise
Mission: Impossible - Rogue Nation,Rebecca Ferguson
Mission: Impossible - Rogue Nation,Jeremy Renner
Jerry and Marge Go Large,Annette Bening
Jerry and Marge Go Large,Rainn Wilson
Jerry and Marge Go Large,Larry Wilmore
Robert Romanus,Fast Times at Ridgemont High
Stormbreaker,Alex Pettyfer
Stormbreaker,Sophie Okonedo
Stormbreaker,Sarah Bolger
Blame It on Rio,Michael Caine
Blame It on Rio,Michelle Johnson
Blame It on Rio,Demi Moore
Blame It on Rio,Joseph Bologna
Octavia Spencer,Spirited
Smokin' Aces,Ryan Reynolds
Heathers,Winona Ryder
The Intruder,Michael Ealy
The Intruder,Meagan Good
Maureen Stapleton,The Money Pit
Maureen Stapleton,Heartburn
Elizabeth Hurley,Bedazzled
Glenn Close,The World According to Garp
Heartburn,Meryl Streep
Martin Lawrence,Bad Boys
Martin Lawrence,Life
Martin Lawrence,Nothing to Lose
Martin Lawrence,Blue Streak
Denise Richards,Wild Things
Denise Richards,The World Is Not Enough
Denise Richards,Undercover Brother
Denise Richards,Valentine
Denise Richards,Madea's Witness Protection
Jim Carrey,A Series of Unfortunate Events
Jim Carrey,Bruce Almighty
Jim Carrey,A Christmas Carol
Jim Carrey,Fun with Dick and Jane
Grudge Match,Robert De Niro
Grudge Match,Sylvester Stallone
Grudge Match,Kim Basinger
Robert De Niro,The Godfather Part II
Robert De Niro,Goodfellas
Robert De Niro,Joker
Robert De Niro,Heat
Robert De Niro,Once Upon a Time in America
Robert De Niro,Casino
Robert De Niro,The Deer Hunter
Robert De Niro,Raging Bull
Robert De Niro,Brazil
Robert De Niro,A Bronx Tale
Robert De Niro,Silver Linings Playbook
Robert De Niro,1900
Robert De Niro,Midnight Run
Robert De Niro,Limitless
Robert De Niro,The Mission
Robert De Niro,This Boy's Life
Robert De Niro,Angel Heart
Robert De Niro,The Intern
Robert De Niro,Wag the Dog
Robert De Niro,Everybody's Fine
Robert De Niro,Cop Land
Robert De Niro,The Score
Robert De Niro,The Good Shepherd
Robert De Niro,Marvin's Room
Robert De Niro,Analyze This
Robert De Niro,Joy
Robert De Niro,Hands of Stone
Robert De Niro,"New York, New York"
Robert De Niro,Killer Elite
Robert De Niro,Being Flynn
Robert De Niro,Frankenstein
Robert De Niro,Meet the Fockers
Robert De Niro,The Family
Robert De Niro,Red Lights
Robert De Niro,Mad Dog and Glory
Robert De Niro,Heist
Robert De Niro,We're No Angels
Robert De Niro,Hide and Seek
Robert De Niro,The Fan
Robert De Niro,Analyze That
Robert De Niro,The War with Grandpa
Robert De Niro,The Comeback Trail
Robert De Niro,What Just Happened
Robert De Niro,Stone
Joy,Jennifer Lawrence
Joy,Bradley Cooper
Joy,Edgar Ramírez
House at the End of the Street,Jennifer Lawrence
House at the End of the Street,Elisabeth Shue
House at the End of the Street,Max Thieriot
Terence Bayler,Macbeth
Holly Hunter,Always
Jennifer Jason Leigh,The Hudsucker Proxy
Jennifer Jason Leigh,Fast Times at Ridgemont High
Jennifer Jason Leigh,Single White Female
Erik Per Sullivan,Unfaithful
Jenna Fischer,Brad's Status
The Big Lebowski,Jeff Bridges
Timothy Bottoms,The Last Picture Show
The Glass House,Diane Lane
The Glass House,Leelee Sobieski
The Glass House,Bruce Dern
Damon Wayans,Celtic Pride
Damon Wayans,Blankman
Marcello Mastroianni,Ready to Wear
Leaving Las Vegas,Nicolas Cage
Leaving Las Vegas,Elisabeth Shue
Leaving Las Vegas,Julian Sands
Leaving Las Vegas,Richard Lewis
Chazz Palminteri,A Bronx Tale
Chazz Palminteri,Bullets Over Broadway
Chazz Palminteri,Analyze This
Chazz Palminteri,Hurlyburly
Jean-Pierre Cassel,Ready to Wear
Forest Whitaker,Phone Booth
Forest Whitaker,Vantage Point
Forest Whitaker,Phenomenon
Sverre Anker Ousdal,The Secret Life of Words
Ricochet,Denzel Washington
Ricochet,John Lithgow
Ricochet,Ice-T
Ricochet,Kevin Pollak
Kathryn Prescott,A Dog's Journey
The Ant Bully,Paul Giamatti
The Ant Bully,Nicolas Cage
The Ant Bully,Julia Roberts
The Ant Bully,Meryl Streep
Adventureland,Kristen Stewart
Adventureland,Ryan Reynolds
Adventureland,Martin Starr
Adam Devine,The Out-Laws
Sophie's Choice,Meryl Streep
Sophie's Choice,Kevin Kline
Sophie's Choice,Rita Karin
Mackenzie Davis,Tully
Sharlto Copley,Europa Report
Sharlto Copley,Oldboy
Deadpool 2,Ryan Reynolds
Deadpool 2,Morena Baccarin
Deadpool 2,Julian Dennison
TRON: Legacy,Jeff Bridges
TRON: Legacy,Garrett Hedlund
TRON: Legacy,Olivia Wilde
TRON: Legacy,Bruce Boxleitner
Steve Jobs,Michael Fassbender
Steve Jobs,Kate Winslet
Steve Jobs,Seth Rogen
Woman in Gold,Ryan Reynolds
Woman in Gold,Katie Holmes
Young Guns,Emilio Estevez
Young Guns,Kiefer Sutherland
Young Guns,Lou Diamond Phillips
Young Guns,Charlie Sheen
Joan Cusack,Toy Story 3
Joan Cusack,Toy Story 2
Joan Cusack,Hero
Joan Cusack,In & Out
Joan Cusack,Friends with Money
Joan Cusack,Runaway Bride
Little Buddha,Keanu Reeves
Little Buddha,Ruocheng Ying
Little Buddha,Chris Isaak
Walter Raney,My Sister's Keeper
Clint Eastwood,Thunderbolt and Lightfoot
Clint Eastwood,Trouble with the Curve
Clint Eastwood,The Rookie
Journey to the Center of the Earth,Pat Boone
Journey to the Center of the Earth,Arlene Dahl
Journey to the Center of the Earth,Diane Baker
Journey to the Center of the Earth,Aníta Briem
Journey to the Center of the Earth,Seth Meyers
When a Man Loves a Woman,Andy Garcia
When a Man Loves a Woman,Ellen Burstyn
When a Man Loves a Woman,Tina Majorino
Joyce Van Patten,The Falcon and the Snowman
Matthew Broderick,No Hard Feelings
Matthew Broderick,Addicted to Love
Dean-Charles Chapman,1917
The Pledge,Patricia Clarkson
The Pledge,Beau Daniels
Mirror Mirror,Lily Collins
Mirror Mirror,Julia Roberts
Mirror Mirror,Armie Hammer
Don Rickles,Toy Story
Into the Woods,Anna Kendrick
Into the Woods,Meryl Streep
Into the Woods,Chris Pine
Bob Hoskins,Who Framed Roger Rabbit
Bob Hoskins,The Long Good Friday
Bob Hoskins,Mona Lisa
Bob Hoskins,Unleashed
Bob Hoskins,Mrs. Henderson Presents
Bob Hoskins,Hook
Bob Hoskins,Mermaids
Bob Hoskins,Beyond the Sea
Bob Hoskins,Hollywoodland
Bob Hoskins,Doomsday
Bob Hoskins,Michael
Barton Fink,John Turturro
Peter Firth,Mighty Joe Young
Oliver Platt,Dangerous Beauty
Oliver Platt,Bicentennial Man
Oliver Platt,Simon Birch
Oliver Platt,Three to Tango
Oliver Platt,Lake Placid
Robin Givens,Boomerang
Robin Givens,Blankman
Patrick Fugit,Wristcutters: A Love Story
June Diane Raphael,Long Shot
Sean Penn,Carlito's Way
Sean Penn,The Game
Sean Penn,The Thin Red Line
Sean Penn,21 Grams
Sean Penn,I Am Sam
Sean Penn,Dead Man Walking
Sean Penn,Milk
Sean Penn,The Professor and the Madman
Sean Penn,Bad Boys
Sean Penn,State of Grace
Sean Penn,Fast Times at Ridgemont High
Sean Penn,At Close Range
Sean Penn,The Falcon and the Snowman
Sean Penn,Colors
Sean Penn,This Must Be the Place
Sean Penn,All the King's Men
Sean Penn,We're No Angels
Sean Penn,The Gunman
Sean Penn,Hurlyburly
Sean Penn,What Just Happened
Conviction,Hilary Swank
Conviction,Sam Rockwell
Tom Sizemore,Saving Private Ryan
Angela Bassett,Nothing But the Truth
Angela Bassett,The Score
Lindsay Lohan,The Parent Trap
The Boss Baby: Family Business,Alec Baldwin
The Boss Baby: Family Business,Amy Sedaris
Splash,Tom Hanks
Splash,Daryl Hannah
Splash,Eugene Levy
The Birdcage,Gene Hackman
The Birdcage,Dianne Wiest
Ving Rhames,Mission: Impossible - Dead Reckoning Part One
Ving Rhames,Mission: Impossible - Fallout
Ving Rhames,Mission: Impossible III
Ving Rhames,Bringing Out the Dead
Ving Rhames,Final Fantasy: The Spirits Within
Ving Rhames,Mission: Impossible II
Kathleen Harrison,A Christmas Carol
Frances Conroy,Joker
Frances Conroy,Stone
Ming-Na Wen,Final Fantasy: The Spirits Within
Gil Birmingham,Hell or High Water
Stacy Keach,Fat City
Stacy Keach,The Long Riders
Kat Dennings,Daydream Nation
Clancy Brown,The Express
James Woods,Once Upon a Time in America
James Woods,Casino
James Woods,Ghosts of Mississippi
James Woods,Against All Odds
James Woods,The Getaway
Jim Belushi,About Last Night
Death Sentence,Kevin Bacon
Death Sentence,Kelly Preston
Death Sentence,Garrett Hedlund
Michael Fassbender,12 Years a Slave
Michael Fassbender,Jane Eyre
Michael Fassbender,Fish Tank
Michael Fassbender,Shame
Michael Fassbender,Prometheus
Michael Fassbender,X-Men: Apocalypse
Michael Fassbender,Frank
Michael Fassbender,Eden Lake
Michael Fassbender,Macbeth
Michael Fassbender,Alien: Covenant
Michael Fassbender,Haywire
Michael Fassbender,Assassin's Creed
Michael Fassbender,Song to Song
Michael Fassbender,Blood Creek
Michael Fassbender,The Snowman
Elaine Stritch,September
Mission: Impossible - Dead Reckoning Part One,Tom Cruise
Mission: Impossible - Dead Reckoning Part One,Hayley Atwell
Charles Grodin,Midnight Run
Charles Grodin,Heart and Souls
Charles Grodin,King Kong
Odessa Rae,Hard Candy
Piper Perabo,Coyote Ugly
Suffragette,Carey Mulligan
Suffragette,Anne-Marie Duff
Suffragette,Helena Bonham Carter
Suffragette,Meryl Streep
William H. Macy,He Was a Quiet Man
William H. Macy,Welcome to Collinwood
Randy Quaid,Days of Thunder
Randy Quaid,Hard Rain
The Reluctant Fundamentalist,Riz Ahmed
The Reluctant Fundamentalist,Liev Schreiber
The Reluctant Fundamentalist,Kiefer Sutherland
The Reluctant Fundamentalist,Kate Hudson
David Alan Grier,The Woodsman
David Alan Grier,A Soldier's Story
David Alan Grier,Boomerang
David Alan Grier,Blankman
Tobey Maguire,Seabiscuit
John Corbett,The Burning Plain
Harley Davidson and the Marlboro Man,Chelsea Field
Harley Davidson and the Marlboro Man,Daniel Baldwin
Rose McGowan,Planet Terror
Kate Capshaw,Black Rain
Kate Capshaw,SpaceCamp
Fun with Dick and Jane,Téa Leoni
Fun with Dick and Jane,Alec Baldwin
Fun with Dick and Jane,Richard Jenkins
John Cusack,Bullets Over Broadway
John Cusack,One Crazy Summer
John Cusack,City Hall
John Cusack,Must Love Dogs
John Cusack,America's Sweethearts
Madea's Witness Protection,Eugene Levy
Dorian Gray,Ben Barnes
Dorian Gray,Colin Firth
Dorian Gray,Rebecca Hall
Dorian Gray,John Hollingworth
The Hunger Games: Catching Fire,Jennifer Lawrence
The Hunger Games: Catching Fire,Philip Seymour Hoffman
Steel Magnolias,Olympia Dukakis
Steel Magnolias,Julia Roberts
My Bodyguard,Chris Makepeace
My Bodyguard,Paul Quandt
The Last Unicorn,Jeff Bridges
Trey Wilson,Bull Durham
Brittany Murphy,Cherry Falls
Frost/Nixon,Frank Langella
Frost/Nixon,Michael Sheen
Frost/Nixon,Kevin Bacon
Frost/Nixon,Sam Rockwell
Sammy Davis Jr.,Ocean's Eleven
Inferno,Irene Miracle
Inferno,Tom Hanks
Inferno,Ben Foster
Rory O'Shea Was Here,James McAvoy
Rory O'Shea Was Here,Steven Robertson
Rory O'Shea Was Here,Alan King
Mohamed Akhzam,Babel
Mia Wasikowska,Jane Eyre
Alison Pill,Cooties
The Mirror Has Two Faces,Barbra Streisand
The Mirror Has Two Faces,Jeff Bridges
The Mirror Has Two Faces,George Segal
Jim Varney,Toy Story
Edward G. Robinson,The Woman in the Window
Josh Hartnett,Bunraku
To End All Wars,Kiefer Sutherland
To End All Wars,Mark Strong
Blade: Trinity,Wesley Snipes
Blade: Trinity,Kris Kristofferson
Blade: Trinity,Parker Posey
Blade: Trinity,Ryan Reynolds
Matt O'Leary,Frailty
The Last Picture Show,Jeff Bridges
The Last Picture Show,Cybill Shepherd
The Last Picture Show,Ben Johnson
Mike Judge,Beavis and Butt-Head Do America
The Big Short,Christian Bale
The Big Short,Ryan Gosling
We're No Angels,Humphrey Bogart
We're No Angels,Peter Ustinov
We're No Angels,Joan Bennett
We're No Angels,Demi Moore
We're No Angels,Hoyt Axton
Ed Harris,State of Grace
Ed Harris,Stepmom
Ed Harris,Eye for an Eye
Ed Harris,The Human Stain
Just Friends,Ryan Reynolds
Just Friends,Amy Smart
Just Friends,Anna Faris
Just Friends,Chris Klein
A Prairie Home Companion,Lily Tomlin
A Prairie Home Companion,Meryl Streep
A Prairie Home Companion,John C. Reilly
Elisabeth Moss,Truth
Factotum,Marisa Tomei
Factotum,Didier Flamand
Zazie Beetz,Joker
Damien Bonnard,Les Misérables
Frankie Avalon,The Alamo
Jet Li,Hero
Jet Li,Fearless
Jet Li,Unleashed
Jet Li,The Mummy: Tomb of the Dragon Emperor
The Hunt for Red October,Sean Connery
The Hunt for Red October,Alec Baldwin
Sylvester Stallone,Cop Land
Sylvester Stallone,Bullet to the Head
Indecent Proposal,Robert Redford
Indecent Proposal,Demi Moore
Indecent Proposal,Seymour Cassel
Sam Shepard,Thunderheart
Sam Shepard,The Pelican Brief
Jenny Runacre,The Passenger
Hurlyburly,Kevin Spacey
Hurlyburly,Robin Wright
James Rebhorn,The Game
James Rebhorn,The Box
James Rebhorn,I Love Trouble
Alexander Siddig,Doomsday
Dark Waters,Mark Ruffalo
Dark Waters,Tim Robbins
Dark Waters,Bill Pullman
Chris Kattan,Undercover Brother
The Fisher King,Jeff Bridges
The Fisher King,Adam Bryant
The Fisher King,Paul Lombardi
Innerspace,Martin Short
Unleashed,Morgan Freeman
Unleashed,Kerry Condon
John Doe,Great Balls of Fire!
Wolf,James Spader
Wolf,Stuart Graham
Police Academy,G.W. Bailey
Police Academy,Kim Cattrall
Police Academy,Bubba Smith
Elizabeth Perkins,Big
Elizabeth Perkins,About Last Night
Elizabeth Perkins,Must Love Dogs
Jürgen Prochnow,The Seventh Sign
Joseph Friend,Starter for 10
Parker Posey,You've Got Mail
Parker Posey,Laws of Attraction
Sabrina Carpenter,Clouds
Michael Berryman,One Flew Over the Cuckoo's Nest
Tully,Ron Livingston
Graham Beckel,Jennifer 8
Tron,Jeff Bridges
Tron,Bruce Boxleitner
Tron,Cindy Morgan
Jon Voight,Heat
Kodi Smit-McPhee,Dawn of the Planet of the Apes
Kodi Smit-McPhee,The Road
Katie Crown,Storks
Zoë Kravitz,Mad Max: Fury Road
Lorna Raver,Drag Me to Hell
Love Is Strange,John Lithgow
Love Is Strange,Alfred Molina
